timestamp(s),heart_rate(bpm)
2019-05-22 1:56,97
2019-05-22 1:56,99
2019-05-22 1:56,100
2019-05-22 1:56,101
2019-05-22 1:56,101
2019-05-22 1:57,105
2019-05-22 1:57,106
2019-05-22 1:57,108
2019-05-22 1:57,110
2019-05-22 1:57,110
2019-05-22 1:57,113
2019-05-22 1:57,116
2019-05-22 1:57,116
2019-05-22 1:57,118
2019-05-22 1:57,122
2019-05-22 1:57,122
2019-05-22 1:57,124
2019-05-22 1:57,126
2019-05-22 1:57,129
2019-05-22 1:57,130
2019-05-22 1:57,130
2019-05-22 1:58,130
2019-05-22 1:58,130
2019-05-22 1:58,135
2019-05-22 1:58,135
2019-05-22 1:58,136
2019-05-22 1:58,136
2019-05-22 1:58,139
2019-05-22 1:58,141
2019-05-22 1:58,144
2019-05-22 1:58,149
2019-05-22 1:58,152
2019-05-22 1:58,154
2019-05-22 1:58,156
2019-05-22 1:58,156
2019-05-22 1:58,155
2019-05-22 1:59,155
2019-05-22 1:59,156
2019-05-22 1:59,157
2019-05-22 1:59,157
2019-05-22 1:59,159
2019-05-22 1:59,158
2019-05-22 1:59,158
2019-05-22 1:59,158
2019-05-22 1:59,158
2019-05-22 1:59,158
2019-05-22 1:59,157
2019-05-22 1:59,155
2019-05-22 1:59,155
2019-05-22 1:59,155
2019-05-22 1:59,154
2019-05-22 1:59,154
2019-05-22 2:00,152
2019-05-22 2:00,150
2019-05-22 2:00,150
2019-05-22 2:00,147
2019-05-22 2:00,146
2019-05-22 2:00,147
2019-05-22 2:00,145
2019-05-22 2:00,144
2019-05-22 2:00,144
2019-05-22 2:00,144
2019-05-22 2:00,144
2019-05-22 2:00,143
2019-05-22 2:00,142
2019-05-22 2:00,142
2019-05-22 2:01,142
2019-05-22 2:01,142
2019-05-22 2:01,143
2019-05-22 2:01,143
2019-05-22 2:01,144
2019-05-22 2:01,144
2019-05-22 2:01,145
2019-05-22 2:01,145
2019-05-22 2:01,147
2019-05-22 2:01,150
2019-05-22 2:01,150
2019-05-22 2:01,153
2019-05-22 2:01,154
2019-05-22 2:01,154
2019-05-22 2:01,156
2019-05-22 2:01,156
2019-05-22 2:01,156
2019-05-22 2:01,157
2019-05-22 2:01,158
2019-05-22 2:02,160
2019-05-22 2:02,159
2019-05-22 2:02,160
2019-05-22 2:02,160
2019-05-22 2:02,161
2019-05-22 2:02,161
2019-05-22 2:02,161
2019-05-22 2:02,162
2019-05-22 2:02,163
2019-05-22 2:02,164
2019-05-22 2:02,164
2019-05-22 2:02,164
2019-05-22 2:02,165
2019-05-22 2:02,165
2019-05-22 2:03,164
2019-05-22 2:03,164
2019-05-22 2:03,164
2019-05-22 2:03,164
2019-05-22 2:03,164
2019-05-22 2:03,164
2019-05-22 2:03,164
2019-05-22 2:03,165
2019-05-22 2:03,166
2019-05-22 2:03,167
2019-05-22 2:03,166
2019-05-22 2:03,166
2019-05-22 2:04,167
2019-05-22 2:04,166
2019-05-22 2:04,166
2019-05-22 2:04,166
2019-05-22 2:04,166
2019-05-22 2:04,166
2019-05-22 2:04,165
2019-05-22 2:04,165
2019-05-22 2:04,165
2019-05-22 2:04,166
2019-05-22 2:04,165
2019-05-22 2:04,165
2019-05-22 2:04,167
2019-05-22 2:04,167
2019-05-22 2:04,169
2019-05-22 2:04,168
2019-05-22 2:05,168
2019-05-22 2:05,167
2019-05-22 2:05,168
2019-05-22 2:05,170
2019-05-22 2:05,170
2019-05-22 2:05,171
2019-05-22 2:05,172
2019-05-22 2:05,172
2019-05-22 2:05,172
2019-05-22 2:05,173
2019-05-22 2:05,173
2019-05-22 2:05,174
2019-05-22 2:05,175
2019-05-22 2:05,175
2019-05-22 2:05,175
2019-05-22 2:05,175
2019-05-22 2:05,176
2019-05-22 2:05,176
2019-05-22 2:05,176
2019-05-22 2:05,177
2019-05-22 2:05,177
2019-05-22 2:06,177
2019-05-22 2:06,177
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,179
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,177
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,178
2019-05-22 2:06,179
2019-05-22 2:07,178
2019-05-22 2:07,177
2019-05-22 2:07,176
2019-05-22 2:07,175
2019-05-22 2:07,175
2019-05-22 2:07,174
2019-05-22 2:07,174
2019-05-22 2:07,174
2019-05-22 2:07,175
2019-05-22 2:07,174
2019-05-22 2:07,174
2019-05-22 2:07,174
2019-05-22 2:07,173
2019-05-22 2:07,174
2019-05-22 2:08,174
2019-05-22 2:08,175
2019-05-22 2:08,175
2019-05-22 2:08,175
2019-05-22 2:08,174
2019-05-22 2:08,174
2019-05-22 2:08,174
2019-05-22 2:08,174
2019-05-22 2:08,173
2019-05-22 2:08,173
2019-05-22 2:08,173
2019-05-22 2:08,175
2019-05-22 2:08,177
2019-05-22 2:08,178
2019-05-22 2:08,178
2019-05-22 2:08,179
2019-05-22 2:08,179
2019-05-22 2:08,178
2019-05-22 2:09,178
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,176
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,176
2019-05-22 2:09,176
2019-05-22 2:09,177
2019-05-22 2:09,177
2019-05-22 2:09,178
