timestamp(s),heart_rate(bpm)
2014-12-10 16:45,122
2014-12-10 16:45,121
2014-12-10 16:45,118
2014-12-10 16:45,121
2014-12-10 16:45,124
2014-12-10 16:45,125
2014-12-10 16:46,128
2014-12-10 16:46,130
2014-12-10 16:46,134
2014-12-10 16:46,135
2014-12-10 16:46,138
2014-12-10 16:46,141
2014-12-10 16:46,144
2014-12-10 16:46,145
2014-12-10 16:46,146
2014-12-10 16:46,147
2014-12-10 16:46,150
2014-12-10 16:46,153
2014-12-10 16:46,154
2014-12-10 16:46,155
2014-12-10 16:46,155
2014-12-10 16:46,156
2014-12-10 16:46,156
2014-12-10 16:46,157
2014-12-10 16:46,158
2014-12-10 16:46,158
2014-12-10 16:47,158
2014-12-10 16:47,158
2014-12-10 16:47,158
2014-12-10 16:47,158
2014-12-10 16:47,159
2014-12-10 16:47,159
2014-12-10 16:47,159
2014-12-10 16:47,160
2014-12-10 16:47,160
2014-12-10 16:47,160
2014-12-10 16:47,161
2014-12-10 16:47,161
2014-12-10 16:47,161
2014-12-10 16:47,161
2014-12-10 16:47,162
2014-12-10 16:47,161
2014-12-10 16:47,161
2014-12-10 16:48,162
2014-12-10 16:48,162
2014-12-10 16:48,162
2014-12-10 16:48,162
2014-12-10 16:48,161
2014-12-10 16:48,161
2014-12-10 16:48,161
2014-12-10 16:48,161
2014-12-10 16:48,161
2014-12-10 16:48,161
2014-12-10 16:48,160
2014-12-10 16:48,160
2014-12-10 16:48,160
2014-12-10 16:48,160
2014-12-10 16:48,161
2014-12-10 16:48,161
2014-12-10 16:48,162
2014-12-10 16:49,162
2014-12-10 16:49,163
2014-12-10 16:49,163
2014-12-10 16:49,163
2014-12-10 16:49,162
2014-12-10 16:49,163
2014-12-10 16:49,163
2014-12-10 16:49,163
2014-12-10 16:49,164
2014-12-10 16:49,164
2014-12-10 16:49,164
2014-12-10 16:49,165
2014-12-10 16:49,166
2014-12-10 16:49,166
2014-12-10 16:49,166
2014-12-10 16:49,167
2014-12-10 16:49,167
2014-12-10 16:49,167
2014-12-10 16:50,167
2014-12-10 16:50,167
2014-12-10 16:50,167
2014-12-10 16:50,167
2014-12-10 16:50,168
2014-12-10 16:50,168
2014-12-10 16:50,167
2014-12-10 16:50,168
2014-12-10 16:50,168
2014-12-10 16:50,168
2014-12-10 16:50,168
2014-12-10 16:50,169
2014-12-10 16:50,170
2014-12-10 16:50,171
2014-12-10 16:50,170
2014-12-10 16:50,171
2014-12-10 16:51,171
2014-12-10 16:51,171
2014-12-10 16:51,171
2014-12-10 16:51,170
2014-12-10 16:51,170
2014-12-10 16:51,170
2014-12-10 16:51,171
2014-12-10 16:51,172
2014-12-10 16:51,172
2014-12-10 16:51,173
2014-12-10 16:51,172
2014-12-10 16:51,173
2014-12-10 16:51,173
2014-12-10 16:51,172
2014-12-10 16:51,172
2014-12-10 16:51,172
2014-12-10 16:52,172
2014-12-10 16:52,172
2014-12-10 16:52,172
2014-12-10 16:52,172
2014-12-10 16:52,173
2014-12-10 16:52,174
2014-12-10 16:52,174
2014-12-10 16:52,174
2014-12-10 16:52,174
2014-12-10 16:52,174
2014-12-10 16:52,173
2014-12-10 16:52,174
2014-12-10 16:52,175
2014-12-10 16:52,176
2014-12-10 16:52,176
2014-12-10 16:53,177
2014-12-10 16:53,176
2014-12-10 16:53,176
2014-12-10 16:53,177
2014-12-10 16:53,177
2014-12-10 16:53,177
2014-12-10 16:53,178
2014-12-10 16:53,178
2014-12-10 16:53,178
2014-12-10 16:53,178
2014-12-10 16:53,178
2014-12-10 16:53,179
2014-12-10 16:53,179
2014-12-10 16:53,179
2014-12-10 16:53,179
2014-12-10 16:54,180
2014-12-10 16:54,180
2014-12-10 16:54,180
2014-12-10 16:54,180
2014-12-10 16:54,180
2014-12-10 16:54,179
2014-12-10 16:54,180
2014-12-10 16:54,180
2014-12-10 16:54,180
2014-12-10 16:54,181
2014-12-10 16:54,181
2014-12-10 16:54,181
2014-12-10 16:54,181
2014-12-10 16:54,182
2014-12-10 16:54,182
2014-12-10 16:54,182
2014-12-10 16:55,182
2014-12-10 16:55,183
2014-12-10 16:55,183
2014-12-10 16:55,184
2014-12-10 16:55,183
2014-12-10 16:55,184
