timestamp(s),heart_rate(bpm)
2015-03-04 16:06,133
2015-03-04 16:06,132
2015-03-04 16:06,132
2015-03-04 16:06,132
2015-03-04 16:06,132
2015-03-04 16:06,132
2015-03-04 16:06,132
2015-03-04 16:06,133
2015-03-04 16:06,134
2015-03-04 16:06,136
2015-03-04 16:06,137
2015-03-04 16:06,139
2015-03-04 16:07,141
2015-03-04 16:07,143
2015-03-04 16:07,144
2015-03-04 16:07,145
2015-03-04 16:07,146
2015-03-04 16:07,147
2015-03-04 16:07,149
2015-03-04 16:07,149
2015-03-04 16:07,151
2015-03-04 16:07,151
2015-03-04 16:07,153
2015-03-04 16:07,153
2015-03-04 16:07,154
2015-03-04 16:07,155
2015-03-04 16:07,156
2015-03-04 16:07,157
2015-03-04 16:07,158
2015-03-04 16:07,158
2015-03-04 16:07,159
2015-03-04 16:07,160
2015-03-04 16:07,161
2015-03-04 16:07,162
2015-03-04 16:07,162
2015-03-04 16:07,163
2015-03-04 16:07,164
2015-03-04 16:07,164
2015-03-04 16:07,165
2015-03-04 16:07,165
2015-03-04 16:07,166
2015-03-04 16:07,166
2015-03-04 16:07,166
2015-03-04 16:07,167
2015-03-04 16:07,167
2015-03-04 16:07,168
2015-03-04 16:07,168
2015-03-04 16:07,169
2015-03-04 16:07,170
2015-03-04 16:07,170
2015-03-04 16:07,171
2015-03-04 16:07,171
2015-03-04 16:07,172
2015-03-04 16:07,172
2015-03-04 16:07,173
2015-03-04 16:07,173
2015-03-04 16:07,174
2015-03-04 16:07,174
2015-03-04 16:07,174
2015-03-04 16:07,174
2015-03-04 16:07,175
2015-03-04 16:07,174
2015-03-04 16:07,175
2015-03-04 16:07,175
2015-03-04 16:07,175
2015-03-04 16:07,175
2015-03-04 16:07,176
2015-03-04 16:07,175
2015-03-04 16:07,176
2015-03-04 16:07,176
2015-03-04 16:07,176
2015-03-04 16:07,176
2015-03-04 16:08,176
2015-03-04 16:08,176
2015-03-04 16:08,176
2015-03-04 16:08,176
2015-03-04 16:08,176
2015-03-04 16:08,177
2015-03-04 16:08,176
2015-03-04 16:08,177
2015-03-04 16:08,177
2015-03-04 16:08,177
2015-03-04 16:08,177
2015-03-04 16:08,177
2015-03-04 16:08,177
2015-03-04 16:08,177
2015-03-04 16:08,178
2015-03-04 16:08,178
2015-03-04 16:08,178
2015-03-04 16:08,178
2015-03-04 16:08,179
2015-03-04 16:08,178
2015-03-04 16:08,178
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,178
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
2015-03-04 16:08,179
